Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,15.70,15.76,15.40,15.42,4800,7.806382
2009-06-30,15.38,15.45,15.28,15.41,4600,7.801319
2009-06-29,15.48,15.77,15.47,15.47,3000,7.831694
2009-06-26,15.18,15.58,15.12,15.31,16500,7.750694
2009-06-25,15.00,15.10,14.90,15.07,40400,7.629194
2009-06-24,14.67,15.12,14.67,14.92,17500,7.553257
2009-06-23,14.58,14.63,14.21,14.63,3200,7.406444
2009-06-22,15.03,15.09,14.71,14.71,12000,7.446944
2009-06-19,15.03,15.08,14.92,15.03,23800,7.608944
2009-06-18,14.93,14.96,14.80,14.94,12800,7.563381
2009-06-17,14.81,15.04,14.46,14.95,9000,7.568444
2009-06-16,15.13,15.18,14.64,14.95,7800,7.568444
2009-06-15,15.40,15.40,14.93,15.19,13300,7.689944
2009-06-12,15.98,15.99,15.68,15.82,4500,8.008882
2009-06-11,15.69,16.08,15.69,16.059999,11000,8.130382
2009-06-10,15.49,15.64,15.49,15.60,1200,7.897507
2009-06-09,15.46,15.49,15.37,15.38,21900,7.786132
2009-06-08,16.629999,16.629999,15.33,15.45,9600,7.821569
2009-06-05,15.65,15.80,15.56,15.59,14800,7.892444
2009-06-04,15.61,15.68,15.58,15.67,14600,7.932944
2009-06-03,15.60,15.83,15.40,15.55,12000,7.872194
2009-06-02,15.73,15.74,15.56,15.65,14200,7.922819
2009-06-01,15.40,15.84,15.40,15.80,37900,7.998757
2009-05-29,14.89,15.19,14.89,15.18,5300,7.684882
2009-05-28,15.00,15.03,14.75,14.84,12000,7.512757
2009-05-27,14.52,14.90,14.38,14.54,12900,7.360881
2009-05-26,13.85,14.53,13.79,14.35,22900,7.264694
2009-05-22,14.14,14.68,14.14,14.46,10400,7.320381
2009-05-21,14.78,14.78,14.22,14.37,18600,7.274819
2009-05-20,14.93,14.93,14.82,14.83,8900,7.507694
2009-05-19,14.63,15.08,14.63,14.84,29700,7.512757
2009-05-18,14.00,14.73,14.00,14.44,13900,7.310256
2009-05-15,13.46,14.04,13.00,13.55,7400,6.859694
2009-05-14,13.14,13.65,13.14,13.52,7600,6.844506
2009-05-13,14.14,14.23,13.01,13.79,36900,6.981194
2009-05-12,14.00,14.39,14.00,14.23,14900,7.203944
2009-05-11,13.90,14.39,13.80,14.03,11800,7.102694
2009-05-08,14.25,14.30,14.14,14.30,22400,7.239381
2009-05-07,14.24,14.24,13.88,14.00,28500,7.087506
