Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,6.75,6.94,6.74,6.80,7274300,6.588893
2009-06-30,6.67,6.74,6.47,6.73,8532200,6.521066
2009-06-29,6.60,6.73,6.50,6.67,4164500,6.462929
2009-06-26,6.60,6.69,6.42,6.56,9573900,6.356343
2009-06-25,6.30,6.62,6.21,6.62,6661300,6.414481
2009-06-24,6.31,6.40,6.22,6.31,8308100,6.114105
2009-06-23,6.35,6.39,6.14,6.25,9709200,6.055968
2009-06-22,6.55,6.58,6.35,6.36,5761200,6.162553
2009-06-19,6.69,6.71,6.55,6.64,6944200,6.43386
2009-06-18,6.68,6.70,6.48,6.64,8941100,6.43386
2009-06-17,6.46,6.72,6.39,6.62,11485400,6.414481
2009-06-16,6.50,6.62,6.40,6.43,5936900,6.230379
2009-06-15,6.56,6.56,6.40,6.48,7932800,6.278827
2009-06-12,6.63,6.73,6.53,6.61,8957900,6.404791
2009-06-11,6.65,6.81,6.55,6.64,8881600,6.43386
2009-06-10,6.81,6.85,6.57,6.65,7876900,6.44355
2009-06-09,6.83,6.91,6.70,6.81,6825400,6.598582
2009-06-08,6.91,6.91,6.75,6.82,5123500,6.608272
2009-06-05,6.99,7.01,6.79,6.89,10326700,6.671254
2009-06-04,7.00,7.01,6.81,6.86,8896100,6.642206
2009-06-03,6.99,7.07,6.86,6.97,8178700,6.748714
2009-06-02,6.90,7.22,6.88,7.04,12595600,6.816492
2009-06-01,6.83,6.98,6.71,6.88,13342500,6.661571
2009-05-29,6.70,6.74,6.58,6.74,7248300,6.526016
2009-05-28,6.75,6.75,6.58,6.67,8166300,6.458239
2009-05-27,6.91,6.94,6.60,6.60,7851300,6.390461
2009-05-26,6.75,6.91,6.62,6.91,6432400,6.690619
2009-05-22,6.78,6.82,6.62,6.70,5242600,6.487286
2009-05-21,6.96,6.96,6.70,6.76,8985800,6.545381
2009-05-20,7.14,7.25,6.91,6.93,7342000,6.709984
2009-05-19,7.18,7.25,7.01,7.08,7676800,6.855222
2009-05-18,6.94,7.13,6.90,7.12,5453100,6.893952
2009-05-15,6.99,7.06,6.82,6.89,7463500,6.671254
2009-05-14,6.91,7.16,6.80,6.95,8335600,6.729349
2009-05-13,7.06,7.07,6.81,6.90,6446700,6.680936
2009-05-12,7.18,7.26,7.00,7.13,6957600,6.903634
2009-05-11,7.25,7.30,7.10,7.16,7069800,6.932682
2009-05-08,7.39,7.39,7.12,7.36,11115600,7.126332
2009-05-07,7.56,7.62,7.13,7.22,7769800,6.990777
2009-05-06,7.55,7.70,7.30,7.52,6889800,7.281252
2009-05-05,7.34,7.57,7.30,7.45,10210600,7.213475
2009-05-04,7.18,7.38,7.06,7.38,8550400,7.145697
2009-05-01,7.08,7.15,6.91,7.06,8811400,6.835857
2009-04-30,7.30,7.34,6.96,6.98,11281200,6.758397
2009-04-29,7.19,7.35,7.08,7.20,9166900,6.971412
2009-04-28,6.88,7.41,6.65,6.95,16073900,6.729349
2009-04-27,6.97,7.06,6.55,6.88,19875000,6.661571
2009-04-24,7.49,7.74,7.45,7.59,7750400,7.34903
2009-04-23,7.47,7.51,7.17,7.43,7136700,7.19411
2009-04-22,7.49,7.75,7.35,7.47,11402700,7.23284
2009-04-21,6.97,7.59,6.92,7.53,10529100,7.290935
2009-04-20,7.12,7.15,6.86,7.01,8298500,6.787444
2009-04-17,7.11,7.43,6.91,7.20,12306500,6.971412
2009-04-16,7.45,7.45,6.58,7.10,24036300,6.874587
2009-04-15,7.29,7.68,7.11,7.64,11175000,7.397442
2009-04-14,7.35,7.55,7.20,7.27,10393700,7.039189
2009-04-13,7.38,7.40,7.18,7.35,7244800,7.11665
2009-04-09,7.18,7.38,7.09,7.38,9064300,7.145697
2009-04-08,6.83,7.09,6.76,7.01,8959300,6.787444
2009-04-07,7.28,7.28,6.71,6.75,10614600,6.535699
2009-04-06,6.82,7.48,6.73,7.34,12171300,7.106967
2009-04-03,7.05,7.16,6.70,6.86,9624800,6.642206
2009-04-02,6.56,7.14,6.45,7.05,11432300,6.826174
2009-04-01,6.27,6.45,6.02,6.43,8836000,6.225858
2009-03-31,6.23,6.53,6.17,6.33,11128400,6.129033
2009-03-30,6.07,6.20,6.01,6.17,9853600,5.974113
2009-03-27,6.41,6.46,6.21,6.23,6365900,6.032208
2009-03-26,6.31,6.58,6.17,6.45,8106200,6.245223
2009-03-25,5.97,6.47,5.92,6.14,10265500,5.945065
2009-03-24,5.98,6.05,5.78,5.92,7969600,5.73205
2009-03-23,5.79,6.04,5.61,6.04,6859500,5.84824
2009-03-20,5.79,5.88,5.57,5.60,7681800,5.422209
2009-03-19,6.07,6.07,5.75,5.77,9672800,5.586812
2009-03-18,5.82,6.12,5.65,5.88,11857100,5.69332
2009-03-17,5.53,5.82,5.35,5.82,7383300,5.635225
2009-03-16,6.01,6.02,5.48,5.52,9288300,5.344749
2009-03-13,5.66,5.85,5.60,5.72,10378900,5.538399
2009-03-12,5.45,5.62,5.25,5.59,10017300,5.412527
2009-03-11,5.54,5.65,5.30,5.45,9667300,5.276971
2009-03-10,5.29,5.49,5.17,5.46,17806200,5.286654
2009-03-09,5.13,5.39,5.06,5.17,11106400,5.005861
2009-03-06,5.00,5.25,5.00,5.13,13932100,4.967131
2009-03-05,5.13,5.14,4.95,5.01,16517500,4.850941
2009-03-04,5.31,5.35,5.12,5.22,16963300,5.054273
2009-03-03,5.40,5.58,5.08,5.23,23128100,5.063956
2009-03-02,5.75,5.78,5.41,5.52,12357800,5.344749
2009-02-27,6.03,6.10,5.73,5.89,11046700,5.703002
2009-02-26,6.20,6.25,6.00,6.12,11610200,5.9257
2009-02-25,6.55,6.55,5.83,6.07,19449800,5.877288
2009-02-24,6.51,6.61,6.35,6.57,9055200,6.361413
2009-02-23,6.59,6.73,6.42,6.45,9420600,6.240382
2009-02-20,6.47,6.65,6.10,6.52,12550200,6.308107
2009-02-19,6.76,7.10,6.65,6.68,12580500,6.462907
2009-02-18,7.02,7.05,6.60,6.69,13973500,6.472582
