Date	AAPL	GLD	GOOG	XOM
2014-12-01	113.142244	116.580002	533.802391	89.287108
2014-12-02	112.709613	115.139999	533.752389	91.066086
2014-12-03	113.987837	116.330002	531.322384	91.800875
2014-12-04	113.555206	115.879997	537.312445	91.240117
2014-12-05	113.073417	114.43	525.262369	90.708355
2014-12-08	110.516976	115.779999	526.982357	88.658665
2014-12-09	112.208162	118.190002	533.37244	88.349278
2014-12-10	110.07451	117.959999	526.062353	85.729159
2014-12-11	109.750044	117.690002	528.34241	86.24158
2014-12-12	107.891708	117.410004	518.662298	83.727813
2014-12-15	106.416837	114.389999	513.80229	84.017866
2014-12-16	104.961628	114.949997	495.392273	83.54412
2014-12-17	107.577069	114.269997	504.892295	86.06755
2014-12-18	110.762787	115.150002	511.102319	88.136581
2014-12-19	109.90736	114.769997	516.352313	90.534325
2014-12-22	111.04793	112.550003	524.872383	90.234609
2014-12-23	110.65463	112.739998	530.592416	91.452814
2014-12-24	110.13351	112.769997	528.772422	90.669681
2014-12-26	112.080335	114.830002	534.032454	90.118586
2014-12-29	112.001681	113.669998	530.332426	89.98323
2014-12-30	110.634961	115.199997	530.422394	89.934885
2014-12-31	108.530812	113.580002	526.402397	89.38379
2015-01-02	107.498407	114.080002	524.812404	89.751192
2015-01-05	104.470005	115.800003	513.872306	87.295433
2015-01-06	104.479839	117.120003	501.962262	86.831349
2015-01-07	105.944875	116.43	501.102268	87.711172
2015-01-08	110.015518	115.940002	502.682255	89.171093
2015-01-09	110.13351	117.260002	496.172274	89.0454
2015-01-12	107.419746	118.559998	492.552209	87.334107
2015-01-13	108.373497	118.160004	496.182251	87.01505
2015-01-14	107.960535	117.970001	500.872267	86.763671
2015-01-15	105.030455	120.940002	501.792271	86.009542
2015-01-16	104.214358	122.519997	508.082288	88.097907
2015-01-20	106.898626	124.199997	506.902294	88.068895
2015-01-21	107.714723	124.230003	518.042312	88.823032
2015-01-22	110.516976	125.230003	534.39245	89.789866
2015-01-23	111.087261	124.230003	539.952437	87.875532
2015-01-26	111.205246	122.989998	535.212448	88.71668
2015-01-27	107.311588	124.400002	518.63237	87.933539
2015-01-28	113.378221	123.419998	510.002318	85.033038
2015-01-29	116.908082	120.760002	510.662331	84.675314
2015-01-30	115.197234	123.449997	534.522445	84.520617
2015-02-02	116.642601	122.419998	528.482381	86.608982
2015-02-03	116.66227	121.050003	529.2424	89.190426
2015-02-04	117.557021	121.580002	522.762349	88.426627
2015-02-05	118.39608	121.790001	527.582391	89.296779
